publisher;review_date;claim_text;review_url;normalized_label
politifact;2023-01-25;"The USA has a gun homicide rate 26 times higher than our peers.""";https://www.politifact.com/factchecks/2023/jan/25/gavin-newsom/gavin-newsom-is-mostly-right-the-us-gun-homicide-r/;MIXTURE
checkyourfact;2023-01-04;"A video shared on Facebook allegedly shows Ukrainian President Volodymyr Zelenskyy calling President Joe Biden a butthole while presenting an award.""";https://checkyourfact.com/2023/01/04/fact-check-zelenskyy-butthole-award-biden/;FALSE
africacheck;2023-01-09;"Ignore fake tweet, Uganda national exams board executive didn’t say form 4 candidates had failed 2022 exam""";https://africacheck.org/fact-checks/meta-programme-fact-checks/ignore-fake-tweet-uganda-national-exams-board-executive;FALSE
africacheck;2023-01-26;"No, Nairobi’s iconic Hilton Hotel building not bought by Pronto Restaurant""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-nairobis-iconic-hilton-hotel-building-not-bought-pronto;FALSE
checkyourfact;2023-01-23;"A photo shared on Facebook allegedly shows a tweet from climate change activist Greta Thunberg posting a picture of her recent detainment with the caption, Rate my Andrew Tate cosplay.""";https://checkyourfact.com/2023/01/23/fact-check-greta-thunberg-detainment-andrew-tate/;FALSE
checkyourfact;2023-01-13;"A video shared on Facebook purports Ohio Republican Rep. Jim Jordan allegedly confronted U.S. Secretary of Homeland Security Alejandro Mayorkas over illegal immigrants.""";https://checkyourfact.com/2023/01/13/fact-check-jordan-snap-mayorkas/;FALSE
fullfact;2023-01-24;"An Instagram post shows a mine worker with 0% body fat.""";https://fullfact.org/online/mine-worker-zero-body-fat/;FALSE
fullfact;2023-01-16;"A boy with autism named Brayden and his dog are missing in Derbyshire.""";https://fullfact.org/online/missing-autistic-boy-brayden/;FALSE
checkyourfact;2023-01-27;"A post shared on Facebook claims CNN is closing its Atlanta, Georgia headquarters due to low ratings and extreme financial losses.""";https://checkyourfact.com/2023/01/27/fact-check-is-cnns-atlanta-georgia-headquarters-closing-due-to-financial-losses/;FALSE
africacheck;2023-01-26;"No, advert for permanent, pensionable jobs at Kenya’s public medical insurer is fake""";https://africacheck.org/fact-checks/meta-programme-fact-checks/no-advert-permanent-pensionable-jobs-kenyas-public-medical;FALSE
checkyourfact;2023-01-25;"A video shared on Facebook purports that A.I robots had killed at least 29 scientists in Japan.""";https://checkyourfact.com/2023/01/25/fact-check-robots-kill-29-japanese-lab/;FALSE
truthorfiction;2023-01-27;"Donald Trump\'s tax cuts for the obscenely wealthy are responsible for a QUARTER OF OUR NATION\'S ENTIRE DEBT ...""";https://www.truthorfiction.com/trumps-tax-cuts-and-the-national-debt/;FALSE
factcheck_afp;2023-01-06;"Pizza box in an Andrew Tate video led to his arrest""";https://factcheck.afp.com/doc.afp.com.336G2CT;FALSE
politifact;2023-01-26;"Electrically charged stones discovered in Congo.""";https://www.politifact.com/factchecks/2023/jan/26/instagram-posts/electrically-charged-stones-found-in-congo-science/;FALSE
checkyourfact;2023-01-16;"A post shared on Facebook claims that President Joe Biden’s administration is seeking to ban the use of gas stoves.""";https://checkyourfact.com/2023/01/16/fact-check-biden-ban-gas-stoves/;FALSE
